% Model,fibra.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 22 2025, 18:07"
% Table,Table 1 - Effective area
% wav (m),Effective mode index (1),A_eff (m^2)
7.7E-7,1.3972674726820418+4.8769820816100654E-11i,9.204846353450507E-13
7.720000000000001E-7,1.3969647634765758+4.897357507052771E-11i,9.204846353450505E-13
7.74E-7,1.3966617627262718+5.277639979910463E-11i,9.204846353450505E-13
7.760000000000001E-7,1.3963584690957802+5.964143285159945E-11i,9.204846353450503E-13
7.78E-7,1.3960548812800164+6.906762522982394E-11i,9.204846353450503E-13
7.8E-7,1.395750998003703+8.057945681766844E-11i,9.204846353450505E-13
7.820000000000001E-7,1.3954468180209045+9.374363689140177E-11i,9.204846353450505E-13
7.84E-7,1.3951423401145495+1.0816195390422997E-10i,9.2048463534505E-13
7.860000000000001E-7,1.394837563096019+1.2347035125732732E-10i,9.204846353450505E-13
7.88E-7,1.3945324858046533+1.3934170069102788E-10i,9.204846353450503E-13
7.900000000000001E-7,1.3942271071073364+1.554717536933442E-10i,9.204846353450503E-13
7.92E-7,1.393921425898111+1.7160120550323905E-10i,9.204846353450503E-13
7.94E-7,1.3936154410977006+1.8748380290509352E-10i,9.204846353450505E-13
7.960000000000001E-7,1.3933091516531235+2.02901225074958E-10i,9.2048463534505E-13
7.98E-7,1.3930025565373279+2.1765790286940983E-10i,9.204846353450507E-13
8.000000000000001E-7,1.3926956547487548+2.315789425426528E-10i,9.204846353450505E-13
8.02E-7,1.3923884453109745+2.4450925849598896E-10i,9.204846353450507E-13
8.04E-7,1.3920809272723251+2.563080644496816E-10i,9.204846353450503E-13
8.06E-7,1.3917730997054918+2.66853817427726E-10i,9.204846353450505E-13
8.08E-7,1.3914649617072194+2.760425420857563E-10i,9.204846353450503E-13
8.100000000000001E-7,1.3911565123978964+2.837876614640194E-10i,9.204846353450507E-13
8.12E-7,1.3908477509212283+2.9000686530187316E-10i,9.204846353450503E-13
8.140000000000001E-7,1.39053867644393+2.9465747460623506E-10i,9.2048463534505E-13
8.16E-7,1.3902292881553204+2.976885288666345E-10i,9.2048463534505E-13
8.18E-7,1.3899195852670574+2.9908841046900386E-10i,9.204846353450503E-13
8.200000000000001E-7,1.3896095670127706+2.988506064293748E-10i,9.204846353450505E-13
8.22E-7,1.3892992326477949+2.9698778271568664E-10i,9.204846353450503E-13
8.240000000000001E-7,1.3889885814487997+2.93538551705658E-10i,9.204846353450505E-13
8.26E-7,1.388677612713528+2.885413610505242E-10i,9.204846353450503E-13
8.280000000000001E-7,1.3883663257604923+2.8207526733053213E-10i,9.204846353450505E-13
8.300000000000001E-7,1.3880547199286364+2.742129082696856E-10i,9.204846353450507E-13
