% Model,guia.mph
% Version,COMSOL 6.3.0.420
% Date,"Oct 28 2025, 20:04"
% Table,Accumulated Probe Table 2 - 
% wav (m),Effective_mode_index (1),effective area
5.000000000000001E-7,1.3724205324667413+8.429896696105075E-10i,2.547523264483713E-13
5.05E-7,1.370564875456059+2.5021657143257344E-10i,2.5653767785741077E-13
5.100000000000001E-7,1.3687077608599334-6.530245749558824E-11i,2.5834754753369987E-13
5.15E-7,1.3668489860090949-1.33721856079749E-10i,2.601823034690528E-13
5.200000000000001E-7,1.3649883657249062-9.726936504548756E-11i,2.620423175460881E-13
5.250000000000001E-7,1.3631257308696425-1.2531349867661057E-11i,2.6392796565044404E-13
5.300000000000001E-7,1.3612609276457368+3.6258639497837827E-11i,2.658396287259889E-13
5.350000000000001E-7,1.3593938167988406+4.714419849502099E-12i,2.6777769268542226E-13
5.400000000000001E-7,1.357524272783158-9.730090425918695E-11i,2.6974254869703794E-13
5.450000000000001E-7,1.3556521829969916-2.1162038452861657E-10i,2.7173459328964276E-13
5.5E-7,1.3537774470630282-2.503581272122895E-10i,2.737542283551031E-13
5.550000000000001E-7,1.3518999761347694-1.3176179924449528E-10i,2.7580186106448E-13
5.600000000000001E-7,1.350019692246584+1.6927143676649337E-10i,2.7787790368384696E-13
5.650000000000001E-7,1.348136527666266+5.63292013834703E-10i,2.7998277346514605E-13
5.7E-7,1.346250424394015+8.908236090376486E-10i,2.8211689290384496E-13
5.750000000000001E-7,1.3443613337678624+9.663844129795856E-10i,2.842806904261905E-13
5.800000000000001E-7,1.3424692160737486+7.971160783429731E-10i,2.8647460124815715E-13
5.850000000000001E-7,1.3405740401295012+4.544089969901178E-10i,2.8869906747518037E-13
5.900000000000001E-7,1.3386757828379796+4.244740814414943E-11i,2.9095453802249485E-13
5.950000000000001E-7,1.3367744287800147-3.474738893049225E-10i,2.9324146856545927E-13
6.000000000000001E-7,1.3348699698573103-6.382495290190224E-10i,2.955603217091443E-13
6.050000000000001E-7,1.3329624048877753-8.266425527616337E-10i,2.979115671099425E-13
6.100000000000001E-7,1.3310517393685517-9.259651912943822E-10i,3.002956815855714E-13
6.15E-7,1.3291379852165297-9.657627445603925E-10i,3.027131494826038E-13
6.200000000000001E-7,1.3272211605263284-1.0010548532472967E-9i,3.0516446278613864E-13
6.25E-7,1.3253012892896632-9.74623756877835E-10i,3.076501215768126E-13
6.300000000000001E-7,1.3233784009882854-9.209163736099986E-10i,3.101706336953097E-13
6.350000000000001E-7,1.3214525305665876-8.487534439797983E-10i,3.1272651521990635E-13
6.400000000000001E-7,1.3195237181880115-7.397384212548771E-10i,3.153182907156361E-13
6.450000000000001E-7,1.3175920089007171-6.574921391725858E-10i,3.1794649222866235E-13
6.500000000000001E-7,1.315657452637027-5.817646454554478E-10i,3.206116609034688E-13
6.550000000000001E-7,1.3137201039062032-5.169726272259482E-10i,3.2331434596370233E-13
6.6E-7,1.3117800216225781-4.984894273483298E-10i,3.2605510501913685E-13
6.650000000000001E-7,1.3098372690711813-4.5705629853855594E-10i,3.2883450359821547E-13
6.700000000000001E-7,1.3078919135633555-4.2994703683452693E-10i,3.31653115649475E-13
6.750000000000001E-7,1.30594402641375-4.1457818145380507E-10i,3.345115229654038E-13
6.800000000000001E-7,1.303993682769-4.04591407530774E-10i,3.3741031510249913E-13
6.850000000000001E-7,1.3020409614755133-3.8909139219730137E-10i,3.403500891166249E-13
6.900000000000001E-7,1.3000859449599977-3.5577315443617E-10i,3.4333144923274847E-13
6.950000000000001E-7,1.2981287190957116-2.889432281445881E-10i,3.4635500648949175E-13
7.000000000000001E-7,1.296169373151599-1.9921084122170376E-10i,3.494213785494533E-13
7.05E-7,1.294207999578445-7.249393081427269E-11i,3.5253118906169614E-13
7.100000000000001E-7,1.2922446939735261+9.596849274663848E-11i,3.5568506738306203E-13
7.150000000000001E-7,1.2902795549635966+3.1014452727485574E-10i,3.588836480818162E-13
7.200000000000001E-7,1.2883126841111+5.714047733694929E-10i,3.621275704593587E-13
7.25E-7,1.2863441858237579+8.767462523734455E-10i,3.6541747805669957E-13
7.300000000000001E-7,1.284374167264913+1.2187516732497318E-9i,3.687540181594293E-13
7.350000000000001E-7,1.2824027382640357+1.5877732620993596E-9i,3.721378413182405E-13
7.400000000000001E-7,1.280430011230625+1.974109312398309E-9i,3.755696009022688E-13
7.450000000000001E-7,1.2784561010854218+2.327691556904004E-9i,3.7904995311295646E-13
7.5E-7,1.2764811251386303+2.7113894797318788E-9i,3.825795549487137E-13
7.550000000000001E-7,1.2745052030869564+3.0793607184533467E-9i,3.8615906622287696E-13
7.600000000000001E-7,1.2725284569019246+3.469508143240566E-9i,3.8978914729927874E-13
7.650000000000001E-7,1.2705510107342832+3.766859683675595E-9i,3.934704611418166E-13
7.7E-7,1.2685729908874424+4.0052791755321826E-9i,3.972036703473761E-13
7.750000000000001E-7,1.2665945257216937+4.1728984631059425E-9i,4.009894389380818E-13
7.800000000000002E-7,1.2646157455899583+4.261079954143729E-9i,4.0482843194006286E-13
7.850000000000001E-7,1.2626367827691098+4.265188375279967E-9i,4.0872131550705674E-13
7.900000000000001E-7,1.2606577713922762+4.184710111902528E-9i,4.1266875713959573E-13
7.95E-7,1.2586788473822368+4.022697399040903E-9i,4.16671426002031E-13
8.000000000000001E-7,1.2567001483863658+3.784585685593487E-9i,4.20729993335571E-13
8.050000000000001E-7,1.2547218137129954+3.4771376978930803E-9i,4.248451329615072E-13
8.100000000000001E-7,1.2527439842671655+3.1082345073748056E-9i,4.290175218636016E-13
8.15E-7,1.2507668024892455+2.6825103415427265E-9i,4.3324784090624627E-13
8.200000000000001E-7,1.248790412298122+2.2002978317328607E-9i,4.3753677561978777E-13
8.250000000000001E-7,1.2468149590299349+1.6599301327342092E-9i,4.4188501702635604E-13
8.300000000000001E-7,1.2448405893727827+9.909555380276468E-10i,4.462932627489101E-13
8.35E-7,1.2428674513264415+3.9322904730561534E-10i,4.5076221701441635E-13
8.400000000000001E-7,1.240895694098867-3.3807290971040824E-10i,4.552925936315046E-13
8.450000000000002E-7,1.2389254680856254-1.1349349477699325E-9i,4.598851151115972E-13
8.500000000000001E-7,1.2369569247859755-1.9935905765413594E-9i,4.645405147483251E-13
8.550000000000001E-7,1.2349902167437077-2.906316957150724E-9i,4.692595375528116E-13
8.6E-7,1.233025497483425-3.861462985523366E-9i,4.740429414009843E-13
8.650000000000001E-7,1.2310629214466844-4.84413172109266E-9i,4.788914981903925E-13
8.700000000000001E-7,1.229102643927934-5.837497046365036E-9i,4.838059950011156E-13
8.750000000000001E-7,1.22714482101044-6.824498854978303E-9i,4.887872352565692E-13
8.8E-7,1.2251896095214487-7.776956468379628E-9i,4.938360399543851E-13
8.850000000000001E-7,1.2232371668938555-8.704199266932268E-9i,4.989532485588834E-13
8.900000000000002E-7,1.2212876512177873-9.587022412555168E-9i,5.041397205706647E-13
8.950000000000001E-7,1.2193412211032901-1.0416304635541769E-8i,5.093963364302488E-13
9.000000000000001E-7,1.2173980356379979-1.1181258037753419E-8i,5.1472399874734E-13
9.05E-7,1.215458254324801-1.1866715512205004E-8i,5.201236334442292E-13
9.100000000000001E-7,1.2135220370610218-1.2387227895408759E-8i,5.255961905231278E-13
9.150000000000001E-7,1.2115895439227637-1.2843490799100306E-8i,5.311426465950423E-13
9.200000000000001E-7,1.209660935287728-1.3138521927843062E-8i,5.367640036848024E-13
9.25E-7,1.2077363716689633-1.3235319498473099E-8i,5.424612918589224E-13
9.300000000000001E-7,1.2058160136663287-1.3098985213470197E-8i,5.482355698553103E-13
9.350000000000002E-7,1.2039000219013078-1.2703936259158298E-8i,5.540879261265173E-13
9.400000000000001E-7,1.2019885569514872-1.204016926442711E-8i,5.600194798941427E-13
9.450000000000001E-7,1.200081779281907-1.1112025305051933E-8i,5.660313822314266E-13
